Post	Content	Date
33	As we await Joe Biden’s San Francisco press conference, here’s a quick summary of the day:	16th November
34	Xi Jinping described the relationship between the US and China as “the most important bilateral relationship in the world”, and one that should be “perceived and envisioned in a broad context of the accelerating global transformations”.	16th November
35	ABC’s senior White House correspondent Selina Wang reported that following Joe Biden and Xi Jinping’s opening remarks, she asked Xi in Mandarin: “Do you trust Biden?” After the question, Wang said Xi “took out his translation earpiece to hear my question, looked at me, but didn’t respond”.	16th November
36	The lead-up to Xi Jinping’s first visit to the US since 2017 was filled with meticulous planning, including cleanups of San Francisco homeless encampments, pre-determined camera angles to capture the meeting of the two heads of state, and specific seating arrangements, NBC News reports. “There is no detail too small,” Kurt Campbell, the White House coordinator for the Indo-Pacific, told the outlet.	16th November
37	In addition to talks about international relations and diplomacy, Joe Biden and Xi Jinping shared a meal. Here’s what was on the menu, the White House told the San Francisco Chronicle:	16th November
38	Herbed ricotta ravioli with artichoke crisps;	16th November
39	Tarragon-roasted heritage chicken with Carolina gold rice pilaf and charred broccolini and brussels sprouts;	16th November
40	Almond meringue cake with praline buttercream and Concord grape sauce.	16th November
41	Thought there has been no official readout of Joe Biden and Xi Jinping’s meeting, which ended recently and lasted several hours, some details are beginning to emerge via Reuters. During their talk, the Chinese president called on the US to stop arming Taiwan and to support China’s “reunification” with the island, and said that he hopes the US president will lift unilateral sanctions that impact China. Biden left the estate where the meeting was held and raised two thumbs up to reporters and said the the talks with Xi went “well”.We’re about 30 minutes out from Biden’s press conference in San Francisco.	16th November
42	As Joe Biden heads from his meeting with Xi Jinping in Woodside, a small California town, to San Francisco, the White House tweeted that the US president and Chinese president had a “candid and constructive” conversation on a range of issues including international diplomacy.Biden is scheduled to give a press conference from the Apec summit in about an hour.	16th November
43	During the meeting at the Filoli estate, 30 miles south of San Francisco, Xi Jinping called the partnership between the US and China “the most important bilateral relationship in the world”, and said that he and Joe Biden “shoulder heavy responsibilities for the two peoples, for the world and for history”. Xi added:	15th November
44	For two large countries like China and the United States, turning their back on each other is not an option,. It is unrealistic for one side to remodel the other, and conflict and confrontation has unbearable consequences for both sides.	15th November
45	Singer Gwen Stefani is slated to be the headline performer at Joe Biden’s Apec reception this evening, the San Francisco Chronicle reports. In January, the pop singer fell into hot water when she said in an Allure interview: “My God, I’m Japanese and I didn’t know it.” (Stefani is not Japanese.)Paul Osaki, the executive director of the Japanese Cultural and Community Center of Northern California, told the Chronicle:	15th November
46	I hope her appearance at Apec is not related to her Harujuku Girls era or feelings about being Japanese. If they want representation of the Japanese culture at the reception, there are several Japanese cultural performing arts groups that are more authentic, not stereotypical and of actual Japanese ancestry.	15th November
47	Read the rest of the Chronicle’s coverage here.	15th November
48	The lead-up to Xi Jinping’s first visit to the US since 2017 has been filled with meticulous planning including cleanups of San Francisco homeless encampments and pre-determined camera angles to capture the meeting of the two heads of state and specific seating arrangements, NBC News reports.	15th November
49	‘There is no detail too small,’ Kurt Campbell, the White House coordinator for the Indo-Pacific, told the outlet.	15th November
50	Any meeting between two heads of state involves a degree of pomp and circumstance, but President Joe Biden’s long-awaited sit-down with Xi on Wednesday is the product of a painstaking process to accommodate China’s many requests. The behind-the-scenes effort is a sign of Beijing’s anxiety over the optics that could result from Xi’s first visit to the US in six years.	15th November
51	Overall, China is looking for Xi’s trip to California to be seen as a ‘grand visit,’ officials said.	15th November
52	Read more about the visit preparation here.	15th November
53	ABC’s senior White House correspondent Selina Wang reports that following Joe Biden and Xi Jinping’s opening remarks, she asked Xi in Mandarin: “Do you trust Biden?”	15th November
54	He took out his translation earpiece to hear my question, looked at me, but didn’t respond,” Wang tweeted.	15th November
55	"In the room during Biden-Xi meeting. After their opening remarks, I asked Xi Jinping in mandarin: ""do you trust Biden?"" He took out his translation earpiece to hear my question, looked at me, but didn't respond Picture/Tweet."	15th November
56	Here is some color from the New York Times on the lush Filoli estate where Joe Biden and Xi Jinping are meeting (the location was largely kept a secret until a day before the bilateral):	15th November
57	The Filoli estate, a grand house and garden on 654 acres of rolling green grounds along the California coast, has been a supporting character in the 1980s television drama ‘Dynasty’ and the 2001 romantic comedy ‘The Wedding Planner.’ It has been the venue for top-dollar nuptials of Facebook executives, and the public can tour the gardens.	15th November
58	Just not on Wednesday.	15th November
59	Top aides to President Biden have worked with Chinese officials for weeks to ensure that this manicured setting would be the perfect backdrop to host a diplomatic summit between Mr Biden and President Xi Jinping of China – two men who share a deep skepticism of each other, but also a mutual belief that their countries must avoid allowing their diplomatic and military interactions to deteriorate from fierce competition into outright conflict …	15th November
60	The site was appealing for a few reasons. It is set among the hills, one of the more isolated spots in a densely populated corner of California. The White House kept the location of the meeting secret until a day before, presumably to keep protesters from surrounding the venue. None were visible at the gates on Wednesday morning as Mr. Biden’s motorcade approached the locale, but some could be seen along the route from San Francisco.	15th November
61	Filoli is a giant estate amid some of the most expensive real estate in the country, built in the early 20th century by a family that made its fortune in the California gold boom and wanted a retreat not far from San Francisco. William Bowers Bourn II, the original owner of the home, decided on the name ‘Filoli’ by mixing together the first few letters of his personal motto: ‘Fight for a just cause. Love your Fellow Man. Live a Good Life.’	15th November
62	Joe Biden meets with Xi Jinping in Woodside, California, on 15 November. Picture/Tweet.	15th November
63	Here are images coming through the newswires of Joe Biden greeting Xi Jinping in San Francisco in their first face-to-face meeting in a year:US president Joe Biden shakes hands with Chinese president Xi Jinping at the Filoli estate in Woodside, California, on the sidelines of the Asia-Pacific Economic Cooperation (Apec) summit, on 15 November 2023. Picture/Tweet. Joe Biden and Xi Jinping walk toward a meeting during the Apec summit week, in Woodside, California, on 15 November 2023. Picture/Tweet. Joe Biden meets with Xi Jinping at the Filoli estate in Woodside, California, on 15 November 2023. Picture/Tweet. Joe Biden attends a bilateral meeting with Xi Jinping at the Filoli estate in Woodside, California, on 15 November 2023. Picture/Tweet. Xi Jinping speaks during a bilateral meeting with Joe Biden at the Filoli estate in Woodside, California, 15 November 2023. Picture/Tweet.	15th November
64	Joe Biden and Xi Jinping sit down for first face-to-face meeting in a year Joe Biden has welcomed Xi Jinping to San Francisco, where the two leaders are meeting face-to-face for the first time in a year.As Xi stepped out of his bulletproof Hongqi sedan, Biden greeted the smiling Chinese president with a handshake and said: “Welcome.”The two then proceeded to pose briefly for photos before heading into their meeting hall, where they were greeted by US officials including the secretary of state, Antony Blinken, the treasury secretary, Janet Yellen, the US’s special climate envoy, John Kerry, and the national security adviser, Jake Sullivan. Addressing Xi, Biden said:	15th November
65	Mr President, we’ve known each other for a long time. We haven’t always agreed, which [does] not surprise anyone but our meetings have always been candid, straightforward and useful … I value our conversation because I think it’s paramount that you and I understand each other clearly, leader to leader with no misconceptions or miscommunication …	15th November
66	We have to ensure that competition does not veer into conflict. And we also have to manage it responsibly … That’s what the United States wants and what we intend to do … I also believe it’s what the world wants for both of us …	15th November
67	We also have the responsibility to our people and the world to work together when we see it in our interest to do so. Critical global challenges we face, from climate change to counter-narcotics to artificial intelligence, demand our joint efforts.	15th November
68	Addressing Biden, Xi said:	15th November
69	The China-US relationship, which is the most important bilateral relationship in the world, should be perceived and envisioned in a broad context of the accelerating global transformations … It should develop in a way that benefits our two peoples and fulfils our responsibility for human progress.	15th November
70	The China-US relationship has never been smooth sailing over the past 50 years or more, and it always faces problems of one kind or another. Yet it has kept moving forward amid twists and turns. For two large countries like China and the United States, turning their back on each other is not an option …	15th November
71	Planet Earth is big enough for the two countries to succeed … As long as [China and the US] respect each other, co-exist in peace and pursue win-win cooperation, they will be fully capable of rising above differences and find the right way for the two major countries to get along with each other.	15th November
72	Xi: 'Planet Earth is big enough' for both US and China to succeed“The China-US relationship, which is the most important bilateral relationship in the world, should be perceived and envisioned in a broad context of the accelerating global transformations,” Xi Jinping told Joe Biden.	15th November
73	The China-US relationship has never been smooth sailing over the past 50 years or more, and it always faces problems of one kind or another. Yet it has kept moving forward amid twists and turns.	15th November
74	For two large countries like China and the United States, turning their back on each other is not an option …	15th November
75	Planet Earth is big enough for the two countries to succeed, and one country’s success is an opportunity for the other.	15th November
76	Biden highlights 'candid, straightforward and useful' US-China meetings“There’s no substitute to face-to-face discussions,” Joe Biden told Xi Jinping.	15th November
77	Mr. President, we have known each other for a long time. We haven’t always agreed … but our meetings have always been candid, straightforward and useful.	15th November
78	We have to ensure that competition does not veer into conflict. And we also have to manage it responsibly … and work together when we see it in our interest to do so.	15th November
79	Biden went on to mention “critical global challenges”, including climate change, narcotics and artificial intelligence, that the US seeks to address with China.	15th November
80	Here is video of the moment Joe Biden greeted Xi Jinping in their first face-to-face meeting in a year:	15th November
81	Joe Biden and Xi Jinping have made their way into the meeting hall.They were greeted by officials including the secretary of state, Antony Blinken, the treasury secretary, Janet Yellen, the US special climate envoy, John Kerry, as well as the national security adviser, Jake Sullivan.	15th November
82	Joe Biden greets Xi Jinping as he arrives for bilateral meetingXi Jinping has arrived ahead of his bilateral meeting with Joe Biden.He stepped out of his car and shook hands briefly with Biden before posing for photos.	15th November
83	Joe Biden and Xi Jinping are expected to meet shortly.Stay tuned as we bring you a live feed of their official greeting.	15th November
84	The San Francisco mayor, London Breed, shared her support for Joe Biden’s initiative to commit more federal funding to curtailing drug trafficking and supporting treatment, in light of the agreement between Biden and Xi aimed at the importation of fentanyl into the US. From London Breed’s X account.	15th November
85	Protesters block delegates from getting into summit location, reports sayDelegates from multiple countries were blocked by protesters from entering Wednesday’s summit, the San Francisco Chronicle reported, citing protesters.Delegates from Thailand, China, and the Philippines were reportedly prevented from accessing the APEC conference, with protesters preventing attendees by forming a blockade.Protesters also blocked a motorcade of 10 vehicles, with police officers in riot gear standing by.A motorcade of about 10 vehicles is stopped outside the barricade unable to move forward. Via @sfchronicle Picture/Tweet Aldo Toledo (@aldot29) November 15, 2023An organizer with the #No2Apec coalition says protesters were able to block the Thai, Chinese and Filipino delegations from accessing the CEO summit. Picture/Tweet	15th November
86	Protesters tried to block people from entering the Apec summit in downtown San Francisco on Wednesday morning, with demonstrators heckling participants and blocking traffic near the gathering.The protest was organized by the No to Apec Coalition, which is made up of more than a hundred grassroot groups and says it “opposes Apec as a forum for corporations and institutions to push so-called ‘free trade’ to exploit their workers and put the benefits of corporations over the rights of nations and peoples.”Demonstrators numbered in the hundreds, CBS Bay Area reported.“Biden, Biden telling lies, you don’t care if the planet dies, some demonstrators chanted, according to the San Francisco Chronicle.Protesters gather early on Wednesday morning to heckle and prevent attendees from entering APEC on the second day of the summit in downtown San Francisco. 📸: @stephenlamphoto https://t.co/lAfGOR56Bf Picture/Tweet San Francisco Chronicle (@sfchronicle) November 15, 2023The San Francisco city blocks where the summit is being held have seen multiple protests ahead of the meeting.On Tuesday, thousands gathered in the same area to demand a ceasefire in Gaza, denounce Israel’s invasion, and deplore the rising death toll.And on Sunday, thousands of demonstrators protesting various causes, including corporate profits, environmental abuses, poor working conditions and the Israel-Hamas war, joined forces in a march.	15th November
87	Ahead of the meeting between Joe Biden and Xi Jinping today in San Francisco, the European Council on Foreign Relations has released the following results from a new global opinion poll conducted in 21 countries:	15th November
88	There is widespread pessimism among citizens of the west. 47% of respondents in the United States are pessimistic about the future of their country.	15th November
89	In contrast, in emerging and rising powers (including China) optimism prevails. Sixty-nine per cent of Chinese respondents are optimistic about their country, and this feeling was also evidenced among 86% of those surveyed in India, 74% in Indonesia and 54% in Russia.	15th November
90	Chinese strength, globally, is most evidenced on economic matters. When asked if they feel closer to the US or China on trade, majorities in Russia (74%), Saudi Arabia (60%), South Africa (60%), Indonesia (53%) and Turkey (50%) selected China. Majorities in Saudi Arabia (64%), South Africa (58%), Brazil (52%), and Turkey (52%) also expressed acceptance for five types of Chinese economic presence in their countries, including ownership of sports teams, newspapers, tech companies and infrastructure.	15th November
91	US leadership on the global stage is still important. If forced to choose, respondents almost everywhere in ECFR’s survey stated that they would prefer to be part of an American bloc rather than cooperating with China and its partners. This was the majority view in South Korea (82%), India (80%), Brazil (66%), South Africa (54%), Turkey (51%) and Saudi Arabia (50%).	15th November
92	Texas’s Republican representative Troy Nehls has made a comment about the Chinese flags lining the streets of San Francisco ahead of Joe Biden and Xi Jinping’s meeting today, saying:	15th November
93	“Chinese flags line the streets of Beijing to welcome President Xi Jinping.	15th November
94	Just kidding. This is San Francisco.”	15th November
95	Chinese flags line the streets of Beijing to welcome President Xi Jinping. Just kidding. This is San Francisco. Picture/Tweet	15th November
96	The GOP has tweeted the following ahead of Joe Biden’s meeting with Xi Jinping later today, citing the suspected Chinese spy balloon that was shot down over the Atlantic in February:	15th November
97	“Just this year, China was caught floating a spy balloon across the continental United States. Now Biden is welcoming Xi Jinping, President of China, to California with open arms.”	15th November
98	Just this year, China was caught floating a spy balloon across the continental United States. Now Biden is welcoming Xi Jinping, President of China, to California with open arms.— GOP (@GOP)	15th November
99	Despite the US and China’s joint climate plan being welcomed by experts, the plan lacks specific emission reductions or a commitment to phase out fossil fuels. The Guardian’s Oliver Milman reports: The US and China’s decision to rekindle a joint effort to tackle the climate crisis has provided sorely needed momentum ahead of crucial UN climate talks later this month, while still leaving some key questions unresolved around calling an end to the fossil fuel era. The difficult relationship between the world’s two largest carbon emitters has somewhat thawed over the issue of global heating, with both sides indicating they see it as a shared menace set aside from other tensions around trade or the status of Taiwan. The US and China are “alarmed” by the state of “one of the greatest challenges of our time” and will work to resolve it despite other differences, as the countries’ joint statement on Tuesday put it. The breakthrough has been welcomed by climate experts who point out that little can be done to stem the unfolding climate crisis without strong action from both China and the US, which together are responsible for nearly 40% of the world’s greenhouse gas emissions. Climate talks have been on hold for more than a year but are set to be on the agenda, among more contentious issues, as Joe Biden meets his Chinese counterpart, Xi Jingping, in California on Wednesday.For the full story, click here:US and China’s joint climate plan leaves key questions unansweredRead more	15th November
100	Here are some images of San Francisco as city officials prepare for the Apec summit with Xi Jinping and other world leaders:San Francisco’s Market Street lit up with laser light show for Asia-Pacific Economic Cooperation (Apec) global trade summit which takes place through 17 November in San Francisco, California. Photograph: Anadolu Agency/Anadolu/Getty ImagesApec ministerial meeting dinner at the Asia-Pacific Economic Cooperation Economic Leaders Week (AELW) at the De Young Museum in San Francisco, on 14 Novemer. Picture/Tweet. Supporters await the arrival of Xi Jinping next to Apec summit headquarters in San Francisco on 14 November. Photograph: Jason Henry/AFP/Getty ImagesProtesters hold banners during a rally in opposition to Apec on 15 November. Photograph: Loren Elliott/ReutersProtesters carry a banner during a rally in opposition to Apec on 15 November. Picture/Tweet	15th November
101	Biden and Xi to announce fentanyl crackdown dealJoe Biden and Xi Jinping are set to announce a deal to crack down on fentanyl export as the US grapples with a worsening opioid overdose epidemic.The Guardian’s Gloria Oladipo reports:Joe Biden and Xi Jinping are set to announce an agreement for China to crack down on the manufacture and export of fentanyl, the primary culprit in a synthetic drug epidemic blamed as the leading killer of Americans between 18 and 49.Bloomberg reported that under the deal – which the US and Chinese presidents are still finalizing – China would go after chemical companies to halt the flow of fentanyl and the source material used to make it.In return, Biden’s White House would lift restrictions on China’s forensic police institute. China had long questioned why the US would expect cooperation in the battle against fentanyl when the US government had placed restrictions on the institute.Last year the US reported 110,000 overdose deaths from synthetic drugs, with more than two-thirds linked to fentanyl, a potent opioid.Fentanyl is up to 50 times stronger than heroin and is increasingly mixed with other illicit drugs, often with lethal results. The US Drug Enforcement Administration (DEA) has said that fentanyl largely comes to the US from China, through drug cartels in Mexico.Authorities say fentanyl can be created and distributed more easily than plant-based illicit drugs, which required large-scale enterprises to cultivate and market.The fentanyl announcement is scheduled for Wednesday when the two leaders are set to meet on the sidelines of the Asia-Pacific Economic Cooperation (Apec) summit in San Francisco. The White House did not respond to request for comment on the deal.For the full story, click here:Biden and Xi to announce deal cracking down on fentanyl export	15th November
102	Utah’s Republican senator Mitt Romney has released a statement ahead of Joe Biden’s meeting with Xi Jinping today, urging the Biden administration to be “clear-eyed in its understanding of China’s nefarious economic intentions”.In his statement, Romney said:	15th November
103	“Our government cannot continue to chase China with offers of concessions without concrete action from the Chinese Communist party, especially in instances where they have no interest in making meaningful changes to their own behavior in the first place.”	15th November
104	My statement ahead of President Biden's meeting with Xi Jinping: Picture/Tweet	15th November
105	The US national security adviser, Jake Sullivan, diverted from a question yesterday during a White House press briefing on whether Joe Biden agrees “it’s more important to impress the leader of China than the American people that live in San Francisco and pay taxes every day”.“I completely reject the premise of your question,” Sullivan told the reporter.FBN's @Hillary__Vaughn: “But Governor Gavin Newsom said of the cleanup this, “ I know folks are saying, ‘oh, they're just cleaning up this place because all those fancy leaders are coming to town. That's true.’ Does President Biden agree it's more important to impress the leader… Picture/Tweet	15th November
106	Newsom: cleanup of homeless encampments motivated by Xi visitThe California governor, Gavin Newsom, admitted that the cleanup of multiple homeless encampments throughout San Francisco was motivated by the visit of Xi Jinping and other world leaders ahead of the Apec summit.Speaking to reporters last week, Newsom said:	15th November
107	“I know folks are saying, ‘Oh they’re just cleaning up this place because all those fancy leaders are coming to town.’ That’s true because it’s true, but it’s also true for months and months and months prior to APEC we’ve been having conversations.”	15th November
108	New-streets: San Francisco, California receives extensive cleanup of it’s streets ahead of the Asia Pacific Economic Cooperation (APEC) 2023 Summit. Governor Gavin Newsom, to the disappointment of Californians, admitted that the deep clean was political. Picture/Tweet	15th November
109	Alaska’s Republican senator Dan Sullivan has released a message to Joe Biden ahead of his meeting with Xi Jinping later today, saying:	15th November
110	“Mr. President, respectfully, when you meet Xi Jinping tomorrow, no kowtowing. Some of your cabinet members have not gotten that memo… The United States is in the power position in this relationship. Do not give that up.”	15th November
111	My message to President Biden as he meets tomorrow with Chinese Communist Party leader Xi Jinping: No kowtowing.  The United States is in the power position in this relationship. Do not give that up. Picture/Tweet	15th November
112	Here are some images of Joe Biden and Xi Jinping’s separate arrivals to San Francisco ahead of their bilateral meeting on Wednesday:Joe Biden with Gavin Newsom and his wife Jennifer Siebel Newsom. Photograph: Justin Sullivan/Getty ImagesXi Jinping arrives in San Francisco. Photograph: Xinhua/ShutterstockChinese and American flags on display. Picture/Tweet	15th November
113	China and US pledge to fight climate crisis ahead of summitWith the US and China pledging on Tuesday to cooperate more closely to fight climate change, both countries said that they would commit to “economy-wide” nationally determined contributions across all greenhouse gases, not just CO2.The Guardian’s Amy Hawkins reports:One of the most notable features in the climate statement was that both countries would commit to “economy-wide” nationally determined contributions (NDCs) across all greenhouse gases, not just CO2. China has previously resisted the idea of specifying which parts of the economy would be covered by its climate pledges.Li Shuo, the incoming director of the China Climate Hub at the Asia Policy Institute, said the language of “economy-wide” NDCs “implies a pretty stringent framework” that “will help enhance the transparency of China’s emissions”, a goal that the US has long pushed for.The US and Chinese climate envoys, John Kerry and Xie Zhenhua, had met this month at the Sunnylands resort in California in an attempt to restart stalled cooperation. Experts agree that keeping the Paris goals in reach will require an enormous collective effort to reduce greenhouse gas emissions this decade.For further details, click here:China and US pledge to fight climate crisis ahead of Xi-Biden summit	15th November
114	Biden to meet with Xi in San Francisco, first in-person meeting in a yearJoe Biden is set to meet  Chinese president Xi Jinping today in San Francisco – the first face-to-face meeting between the two leaders in a year.The summit, which marks Xi’s first visit to the US in six years, has been widely regarded by US and Chinese officials as an opportunity for the two leaders to ease tensions amid a precarious geopolitical climate involving the Israel-Hamas and Russia-Ukraine wars.Over the years, tensions surrounding trade, human rights and the future of Taiwan has deteriorated US-China relations. Following the then-House speaker Nancy Pelosi’s visit to Taiwan last year, which triggered outrage from China, military dialogues between the two countries have been largely suspended.In addition to issues surrounding trade, human rights and Taiwan, the two leaders are also widely expected to discuss climate agreements. In a statement released alongside China on Tuesday, the state department said that the US and China “reaffirm their commitment to work jointly and together with other countries to address the climate crisis”.Another major potential talking point between the two leaders is the control of the fentanyl pipeline from China to the US which has resulted in an opioid overdose epidemic across the US.Here’s the timeline for Biden and Xi’s meeting today:	15th November
115	Biden and Xi’s bilateral meeting is due to start at 2pm ET and is expected to last at least four hours.	15th November
116	Biden is expected to hold a press conference at 7.15pm ET.	15th November
117	The Bidens will then host a welcome reception for Apec leaders in San Francisco.	15th November
118	Homeland security secretary Alejandro Mayorkas and FBI director Christopher Wray is set to testify before a homeland security subcomittee on worldwide threats, Politco reports.	15th November
119	House speaker Mike Johnson has called the separation of church and state a “misnomer,” telling CNBC on Tuesday that “people misunderstand it.”	15th November
