Post	Content	Date
50	In his remarks to kick off the APEC summit, Biden mentioned earlier today that he shared with Xi Jinping a photo taken of the Chinese leader decades earlier at the Golden Gate Bridge. Assistant Foreign Minister Hua Chunying posted the moment of bonhomie on X shortly before Biden’s press briefing, where he again repeated that Xi was a “dictator.”         Daniel Ten KateAsia Economy & Government Executive EditorCopied	15th November
51	As the dinner is about to start, nine out of the ten top trending topics on China’s microblogging platform Weibo are related to the Xi-Biden meeting.    One of the trending stories is that President Biden pointed to Xi’s official FAW Hongqi (red flag) car and said “beautiful” when they bid each other goodbye. Weibo Chief Executive Officer Wang Gaofei reposted the story and quipped: Advertisement of the day.  Zibang XiaoEconomy & Government TeamCopied	15th November
52	Fresh off a multi-billion sale of jets in Dubai, Boeing’s commercial aircraft chief Stanley Deal has a prized seat at the head table with China’s President Xi, given the importance of China and Boeing to each other.Bloomberg News reported earlier this week that China could announce a commitment to buy Boeing’s top-selling jet again, the 737 Max. That would clearly signal an end to a commercial freeze in Boeing’s top export market.As of 7:30 p.m. PST there has been no announcement from Beijing, there is still time while Xi is in the US -- and Boeing’s Deal present for dinner could help to push the agenda along -- for a much-anticipated announcement.Danny LeeAsia Transport ReporterCopied	15th November
53	The steak entree is called “Black and Blue”: Black Angus Flat Iron Steak, crusted in Blue Bottle Coffee, a brand founded locally here. (Now there’s a stand in New York City’s train station.)Scott LanmanUS Economy Managing EditorCopied	15th November
54	For the menu: Autumn Vegetable Salad, followed by a choice of either steak or vegetable curry. The dessert is a fresh fruit tart. Wine: Cakebread Cellars Sauvignon Blanc or Frank Family Carneros Pinot Noir.Scott LanmanUS Economy Managing EditorCopied	15th November
55	One of Xi’s “old friends” from Iowa, Sarah Lande, will also be at the head table, according to the program. (My colleague Jennifer Jacobs talked to Lande last week about her invitation from Xi.)Scott LanmanUS Economy Managing EditorCopied	15th November
56	From the US side at the head table: Commerce Secretary Gina Raimondo; Nicholas Burns, the US ambassador to China; and Kurt Campbell, Biden’s top adviser on Asia.Scott LanmanUS Economy Managing EditorCopied	15th November
57	The Chinese delegation numbers nine officials in addition to Xi, including Xi chief of staff Cai Qi, foreign minister Wang Yi, finance minister Lan Fo’an and commerce minister Wang Wentao. Also, Zheng Shanjie, chairman of the National Development and Reform Commission.Scott LanmanUS Economy Managing EditorCopied	15th November
58	Also on the head table list: top executives from Boeing (commercial airplanes CEO Stanley Deal), Gilead Sciences (CEO Daniel O’Day), FedEx (CEO Raj Subramaniam) and Nike (executive chairman Mark Parker).Scott LanmanUS Economy Managing EditorCopied	15th November
59	Bloomberg reporter Jacob Gu is inside the banquet room for the Xi dinner with CEOs. We now have the program, which includes names of guests at the head table. In addition to the names reported in our story earlier -- including Apple’s Tim Cook and BlackRock’s Larry Fink -- other big names include Bridgewater’s Ray Dalio, Citadel Securities CEO Peng Zhao and KKR Co-CEO Joseph Bae. That’s just the finance-industry crowd.Scott LanmanUS Economy Managing EditorCopied	15th November
60	Early Republican criticism to the Biden-Xi meeting came from Senator Jim Risch, the top GOP member of the Foreign Relations Committee, who said Biden “narrowed the space for bipartisan cooperation” with China and downplayed the significance of the talks.       “China is not a normal country – it is an aggressor state,” Risch said in a statement. “Biden is caving to Xi in exchange for a series of meaningless working groups and engagement mechanisms.”   While Republican criticism was to be expected, it underscores the political challenge of reaching out to China, particularly just ahead of presidential elections in 2024.  Bill FariesSenior EditorCopied	15th November
61	Biden’s fresh remarks on Xi being a dictator come a week after Hillary Clinton criticized the Chinese leader’s decision to hold on to power for longer than the two terms of his predecessors. Speaking at the Bloomberg New Economy Forum, Clinton said Xi’s decision to remain in office had created challenges for China and its relations with the US. She said she hoped the Biden-Xi meeting would “reset the table.” We’ll now need to wait and see what China’s reaction will be to Biden’s unscripted comment.         Alex MillsonSenior Editor, News DeskCopied	15th November
62	Here are the key takeaways from Joe Biden’s news conference following his meeting with Xi Jinping in California:Biden capped the event by taking extra questions on his way out, responding to one with the comment that Xi is a dictator, describing China’s communist system as “totally different than ours.” The remark is likely to dominate headlines and frustrate the administration’s Chinese counterpartsUp until then, Biden hailed the talks as some of the most productive he’s had with Xi, describing areas of progress including resuming military-to-military communications The possibility of interference in Taiwan’s upcoming elections came up during Biden’s conversation with Xi. Biden said he made it clear to Xi he expects there to be no interferenceBiden hailed an agreement with China to counter the flow of fentanyl, a drug manufactured and produced by Chinese chemical companies. China is taking actions to prevent raw materials of the drug, known as precursors, from being exported with controlsThe president weighed in on the war in the Middle East, saying he is “mildly hopeful” about securing the release of hostages held by Hamas in Gaza. He also said a two-state solution between Israel and Palestine is “the only ultimate answer” to ending the warAkayla GardnerWhite House ReporterCopiedUpdated Nov 16	15th November
63	Here is the quote. When asked by a reporter whether he would still refer to Xi as a dictator, Biden said:      “Well, look, he is. I mean he’s a dictator in the sense that here’s a guy who runs a country that is a Communist country based on a form of government totally different than ours.” Colum MurphyAsia Government TeamCopiedUpdated Nov 15	15th November
64	How the press conference started: Biden hailed what he described as some of the most constructive and productive discussions he has had with Xi. How the press conference ended: Biden said Xi is a dictator.Enda CurranGlobal Economy ReporterCopied	15th November
65	This story from August has context on some of Biden’s past remarks on China that spurred reaction, so let’s see what happens after this latest remark on Xi as dictator:     White House Downplays Biden ‘Ticking Time Bomb’ Remark on China Chris AnsteySenior EditorCopied	15th November
66	The Chinese Foreign Ministry said earlier this week that China was looking for the US side to do more than just say it doesn’t support Taiwan independence. “The US needs to honor its commitment to one China and oppose ‘Taiwan independence’ with concrete actions,” spokeswoman Mao Ning said.Colum MurphyAsia Government TeamCopied	15th November
67	On Taiwan, it doesn’t seem like today’s talks moved the dial much, other than both sides pushing their respective lines. In truth both Beijing and Washington are treading water on this issue until there’s clarity on how the Taiwan presidential election goes in January, which will set the tone for where next on that issue.Enda CurranGlobal Economy ReporterCopied	15th November
68	Israeli officials, including Prime Minister Benjamin Netanyahu, have said that is not their intention.Daniel FlatleyNational Security ReporterCopied	15th November
69	“I made it clear to the Israelis” that it’s a “big mistake” for them to continue to occupy Gaza, the president said. “I don’t think that works.”Akayla GardnerWhite House ReporterCopied	15th November
70	Biden said he’s doing everything in his power to get hostages out of Gaza, but that does not involve sending a military presence, clarifying previous comments he made about the situation.Akayla GardnerWhite House ReporterCopied	15th November
71	He wrapped up, before the extra questions, with another warning about the threat posed by Hamas and asked what would the US do. He adds he is negotiating to get hostages released, through a pause in fighting to allow that to happen.Enda CurranGlobal Economy ReporterCopied	15th November
72	Before that, a relatively significant portion of the briefing was devoted to Israel-Hamas, which meant we didn’t really get into the nitty gritty of what was achieved during the US-China talks, apart from items already telegraphed earlier in the week such as cooperation on fentanyl, AI and climate.Colum MurphyAsia Government TeamCopied	15th November
73	The president took more questions from reporters than expected before leaving the stage, calling on a handful of journalists who asked shouted questions. As mentioned, that’s when the dictator question emerged. Akayla GardnerWhite House ReporterCopiedUpdated Nov 16	15th November
74	In August, Biden made off-the-cuff remarks in another example of the US president veering off-script. As my colleague Justin Sink wrote at the time, the president blasted Communist Party leaders at a political fundraiser as “bad folks” and branded China’s economic problems a “ticking time bomb.”      Biden Calls China’s Economy ‘Ticking Time Bomb’ in New Barb Colum MurphyAsia Government TeamCopied	15th November
75	While Republican hard-liners are sure to blast Biden on many elements of his engagement with Xi, the dictator comment surely won’t be one of them.Chris AnsteySenior EditorCopied	15th November
76	It rather feels like the APEC meetings over coming days will be anti-climactic after this. But let’s see. It will be interesting to monitor how Biden and Xi interact with their colleagues. Back at the G-20 summit in Bali a year ago, there was a controversial encounter between Xi and Canadian Prime Minister Justin Trudeau that got picked up on a hot mic. Let’s see what San Francisco brings.Chris AnsteySenior EditorCopied	15th November
77	The dictator remark will probably overshadow what looks like some cut-through on some very important areas, namely controlling fentanyl and on both militaries talking to each other. China may choose to ignore it... or not.Enda CurranGlobal Economy ReporterCopied	15th November
78	The dictator comment is the sort of off-the-cuff comment from Biden that has stirred controversy in the past. His response came after the formal set of questions had been presented from the media. Reporters were shouting out questions to extend the briefing. Biden has made comments in the past about defending Taiwan and Russian “incursions” into Ukraine that forced White House staff to clarify what the president had intended.Chris AnsteySenior EditorCopied	15th November
79	The Chinese above all want respect. Biden was on message until the very last question, and the “dictator” remark will surely steal the headlines and irk Beijing. Daniel Ten KateAsia Economy & Government Executive EditorCopied	15th November
80	Biden previously referred to Xi as a dictator during a campaign fundraiser this summer, drawing rebukes from China.Akayla GardnerWhite House ReporterCopied	15th November
81	He was answering in the affirmative a question on whether Xi is a dictator. As Akayla says, that off-script remark won’t go down well in Beijing.Enda CurranGlobal Economy ReporterCopied	15th November
82	That comment came as Biden was leaving the room after stopping to take a couple of ad-hoc questions from reporters.Daniel FlatleyNational Security ReporterCopied	15th November
83	Biden says Xi is a dictator, a comment that’s likely to upset the Chinese government.Akayla GardnerWhite House ReporterCopiedUpdated Nov 15	15th November
84	Biden’s refusal to be drawn into further discussion on Taiwan - simply reiterating the so-called one-China policy - will be reassuring to Xi. Beijing will be looking for follow-through from US officials that they have no intention to change the status quo around the democratically run island. Rebecca Choong WilkinsAsia Government & Politics CorrespondentCopied	15th November
85	Biden says that while he and Xi have their disagreements, the Chinese leader has been “straight” in his interactions with him. Colum MurphyAsia Government TeamCopied	15th November
86	Interesting to note that Biden kept his remarks on Taiwan so short. When asked in previous interviews, he has sometimes suggested the US might defend the island from an attack by China, prompting White House officials to walk back some of those comments. He’s now taking great care to stay on script.Daniel FlatleyNational Security ReporterCopied	15th November
87	Israel is also taking risks for their troops in going directly to the hospital that Hamas is operating out of, Biden says.Akayla GardnerWhite House ReporterCopied	15th November
88	The only answer here is “a two-state solution that’s real,” Biden says.Chris AnsteySenior EditorCopiedUpdated Nov 15	15th November
89	He says the war will stop when Hamas “no longer maintains the capacity” to do “horrific things.”Akayla GardnerWhite House ReporterCopied	15th November
90	Biden says he is “mildly hopeful” about the hostage situation in Gaza.Akayla GardnerWhite House ReporterCopied	15th November
91	Biden says he’s deeply involved in negotiations to release hostages held by Hamas in Gaza.Akayla GardnerWhite House ReporterCopied	15th November
92	Biden says Hamas asserts that it will attack Israel again, as it did on Oct. 7.Akayla GardnerWhite House ReporterCopied	15th November
93	Biden says Hamas has committed a war crime by operating under hospitals in Gaza.Akayla GardnerWhite House ReporterCopied	15th November
94	On the Israel-Hamas war, Biden says: “We can’t let it get out of control.”Daniel FlatleyNational Security ReporterCopied	15th November
95	It’s important to recognize how important this discussion of fentanyl is for voters. It’s an issue that has geopolitical implications, but it’s also one that is sure to come up on the campaign trail. Something to keep in mind as we head into the 2024 presidential election.Daniel FlatleyNational Security ReporterCopied	15th November
96	Biden reckons he has spent more time with Xi than any other world leader, given he knew him when he was vice president.  Enda CurranGlobal Economy ReporterCopied	15th November
97	Biden calls fentanyl “the largest killer” of young people.Akayla GardnerWhite House ReporterCopied	15th November
98	“We’re in a situation where we agreed that fentanyl and its precursor will be curbed substantially,” Biden says.Akayla GardnerWhite House ReporterCopied	15th November
99	The president tells a story of two kids who died near where he lives due to fentanyl. Akayla GardnerWhite House ReporterCopied	15th November
100	Biden noted that Xi would pick up the phone in case the two leaders needed to talk. That’s significant, as Xi wouldn’t speak to Biden following the balloon incident that derailed ties after their previous summit in Indonesia last year. Daniel Ten KateAsia Economy & Government Executive EditorCopiedUpdated Nov 15	15th November
101	The “trust but verify” quip was made famous by Ronald Reagan in the 1980s, with regard to dealing with a newly reformist Soviet Union.Chris AnsteySenior EditorCopied	15th November
102	Biden says he doesn’t expect any interference from China “at all” in next year’s election.#lazy-img-404397150:before{padding-top:99.82238010657193%;}Biden addresses questions from the mediaAkayla GardnerWhite House ReporterCopiedUpdated Nov 15	15th November
103	“Trust but verify as the old saying goes,” Biden says.Enda CurranGlobal Economy ReporterCopied	15th November
104	She asks Biden if he can trust Xi and about interference in Taiwan’s election.Enda CurranGlobal Economy ReporterCopied	15th November
105	Bloomberg News receives the next question, from my colleague Michelle Jamrisko.Akayla GardnerWhite House ReporterCopied	15th November
106	Biden doesn’t seem to want to elaborate on Taiwan. He adds re the policy: “And that’s not going to change.” Enda CurranGlobal Economy ReporterCopied	15th November
107	Biden responds to the first question on Taiwan that he affirms the One China policy. A short and brief answer.Akayla GardnerWhite House ReporterCopied	15th November
108	First question is about whether the US has altered its position toward Taiwan, given other conflicts in the world.Daniel FlatleyNational Security ReporterCopied	15th November
109	So the gist of Biden’s opening remarks is essentially that both sides are talking again.Enda CurranGlobal Economy ReporterCopied	15th November
110	Biden says he stressed the importance of peace in the Taiwan strait. This has been a major point of contention between the two countries. Even just talking about it at this point would be considered a step forward, though Biden doesn’t say China has made any commitments on that front.Daniel FlatleyNational Security ReporterCopiedUpdated Nov 15	15th November
111	Questions begin from reporters.Akayla GardnerWhite House ReporterCopied	15th November
112	“It’s important for the world to see that we’re implementing the approach in the best traditions of American diplomacy, we’re talking to our competitors,” Biden says. For context: Establishing himself as a world leader is a key pillar of Biden’s re-election campaign.Akayla GardnerWhite House ReporterCopied	15th November
113	The move to restart military-to-military communications is something the US has sought for months, but China has resisted - in part because the US put sanctions on China’s former defense minister. That official has since been ousted in a corruption probe, but China has yet to name a replacement. Daniel Ten KateAsia Economy & Government Executive EditorCopied	15th November
114	Biden says he raised the war in Ukraine and the Israel-Hamas war.Akayla GardnerWhite House ReporterCopied	15th November
115	Biden says “the rest of the world expects” the US and China to cooperate in areas where that’s possible. Chris AnsteySenior EditorCopied	15th November
116	The US will continue to compete “vigorously” with the People’s Republic of China, Biden says. Akayla GardnerWhite House ReporterCopied	15th November
117	The third area listed is the promise to cooperate on AI - this sounds quite vague given both are competing technology superpowers.Enda CurranGlobal Economy ReporterCopied	15th November
118	Biden says he “appreciates” Xi’s commitment on curbing fentanyl. His hope with this deal surely is that he’ll get credit domestically for getting progress in battling what’s been a true scourge for the nation. Republicans are painting his engagement with Xi, however, as a sign of being soft on the US’s strategic rival. Chris AnsteySenior EditorCopied	15th November
119	“That’s how’s accidents happen,” Biden says of the lack of communication between the two countries’ militaries.Daniel FlatleyNational Security ReporterCopied	15th November
120	It’s interesting that Biden is listing fentanyl at the top of his remarks, followed by the resumption of military-to-military contacts. These are clearly two areas he wants to portray as a win.Enda CurranGlobal Economy ReporterCopied	15th November
121	Biden says “important progress” has been made with China.#lazy-img-404396785:before{padding-top:56.172328086164036%;}Joe Biden speaking in San Francisco Chris AnsteySenior EditorCopiedUpdated Nov 15	15th November
122	Biden is racing through his opening remarks and is now listing where agreement has been made, starting with curbing fentanyl.Enda CurranGlobal Economy ReporterCopied	15th November
123	Biden says he had “several hours” of discussion with Xi. Chris AnsteySenior EditorCopied	15th November
124	Biden calls today’s discussions candid and straightforward.Akayla GardnerWhite House ReporterCopied	15th November
125	As Biden steps up to the podium, the long-awaited press conference kicks off.Akayla GardnerWhite House ReporterCopied	15th November
126	The press conference will begin in two minutes. Akayla GardnerWhite House ReporterCopied	15th November
127	Activity near the podium keeps suggesting we’re about to begin.Chris AnsteySenior EditorCopied	15th November
128	As we wait, we note Biden’s National Economic Council Director Lael Brainard sitting in the front row.Akayla GardnerWhite House ReporterCopied	15th November
129	More on Glaser, the Indo-Pacific director at the German Marshall Fund, who says on Bloomberg TV that many of the agreements are simply about talking. Time will tell whether things like a reduction in fentanyl-precursor chemicals stop getting exported to Mexico actually pan out.Chris AnsteySenior EditorCopied	15th November
130	Well-known China watcher Bonnie Glaser tells Bloomberg Television there are clearly deliverables that have come out of today’s talks, but she cautions it remains to be seen how the enforcement goes.Enda CurranGlobal Economy ReporterCopied	15th November
131	Fun fact: The first APEC summit was convened in Seattle, in 1993. President Bill Clinton elevated the forum to the leaders’ level on that occasion. As the 1990s rolled on, APEC summits became famous for all the leaders doing a group photo wearing the same type of shirt. Like, batik shirts in Indonesia.Chris AnsteySenior EditorCopied	15th November
132	Senior officials have entered the room, so we should be getting underway soon.Enda CurranGlobal Economy ReporterCopied	15th November
133	Something to keep in mind is the example that Biden sets for US allies with this engagement. For the likes of Japan, say, the takeaway is that it’s a-ok to meet with Chinese counterparts and do deals. Ripple effects will emanate from this.Chris AnsteySenior EditorCopied	15th November
134	Biden asked China’s government to respect the electoral process in upcoming US elections. There has been concern that outside foreign actors, including from China and Russia, could seek to undermine the 2024 presidential election. Those fears have only intensified with artificial intelligence rapidly advancing. Akayla GardnerWhite House ReporterCopied	15th November
135	Some color from earlier in the day, when Biden and Xi took a walk.         Akayla GardnerWhite House ReporterCopied	15th November
136	China’s readout strikes a more positive tone but there are still a few digs in there high up on page one:          The world is divided into those seeking to “enhance solidarity and cooperation” and those who “cling to the zero-sum mentality, provoke rivalry and confrontation”         “For China and the United States, turning their back on each other is not an option. It is unrealistic for one side to remodel the other”   That’s tacit criticism of the attempts by the US and its allies to treat China as a strategic competitor and rival through economic curbs mentioned earlier. Rebecca Choong WilkinsAsia Government & Politics CorrespondentCopiedUpdated Nov 15	15th November
137	To put today’s agreements in context, this afternoon at Harvard University, former Bank of England Deputy Governor Paul Tucker, now at Harvard and a senior fellow there, likened US-China competition to the rivalry and conflict between Britain and France in the 18th century. Sure, there were times when deals were done, even trade deals. But they also spent much time warring against each other. Tucker was discussing his new book, Global Discord: Values and Power in a Fractured World Order. Chris AnsteySenior EditorCopiedUpdated Nov 15	15th November
138	The English-language readout from China touches upon many familiar themes, including concerns over US export controls, investment screening and sanctions that Beijing says could “hurt China’s legitimate interests.” These issues come up often in discussions between US and Chinese economic officials and were again discussed last week when Treasury Secretary Janet Yellen held talks in San Francisco with her Chinese counterpart, Vice Premier He Lifeng. Both sides spoke of the need to have a level playing field, though it’s unlikely this means either would actually reconsider existing measures.      Yellen to Visit China Again in 2024 as Communication Deepens Viktoria DendrinouUS Treasury ReporterCopied	15th November
139	Looking ahead to this evening’s main event, Apple’s Tim Cook and BlackRock’s Larry Fink are set to attend a dinner with Xi, along with Blackstone CEO Steve Schwarzman and Visa CEO Ryan McInerney, according to people briefed on the guest list. The soiree in San Francisco comes as Xi tries to woo foreign capital to the world’s second-largest economy.      Apple’s Cook, BlackRock’s Fink Among CEOs Attending Xi Dinner Ainslie ChandlerSydney Bureau ChiefCopiedUpdated Nov 15	15th November
